# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	42107
#@/user_id	8d82608b-c9dc-447a-b88f-fa6f65555da6
a 	啊	c=198 d=1.50015 t=41900
bao gao 	报告	c=2 d=1 t=29424
bao gong tou 	包工头	c=1 d=1 t=32835
bao guan 	保管	c=1 d=1 t=30523
bao han 	包含	c=18 d=2.16871 t=37318
bao han le 	包含了	c=1 d=1 t=37312
bao hu 	保护	c=4 d=1 t=38298
bao jia 	报价	c=1 d=1 t=12831
bao jiang 	包浆	c=1 d=1 t=1568
bao jie 	保洁	c=1 d=1 t=1067
bao kuo 	包括	c=5 d=1 t=33453
bao le 	爆了	c=1 d=1 t=14387
bao liu 	保留	c=8 d=1.00013 t=16286
bao ma 	宝马	c=2 d=1.00002 t=3748
bao mi xie yi 	保密协议	c=1 d=1 t=2258
bao qian 	抱歉	c=1 d=1 t=34321
bao shen me 	抱什么	c=1 d=1 t=4291
bao xian 	保险	c=3 d=1 t=37747
bao xiao 	报销	c=7 d=3.31729 t=37920
bao xiu 	保修	c=2 d=1 t=36478
bao yu 	暴雨	c=1 d=1 t=19325
bao zha 	爆炸	c=2 d=1 t=41390
bao zha le 	爆炸了	c=1 d=1 t=14944
bao zheng 	保证	c=3 d=1.31664 t=26709
bao zheng jin 	保证金	c=1 d=1 t=6995
bao zhuang 	包装	c=2 d=1 t=31156
bei 	北	c=1 d=1 t=27361
bei 	呗	c=12 d=1 t=42039
bei 	杯	c=1 d=1 t=20358
bei 	背	c=1 d=1 t=35830
bei 	被	c=36 d=1.80814 t=41069
bei an 	备案	c=9 d=1.00023 t=39812
bei ban 	背板	c=1 d=1 t=22045
bei bian 	北边	c=3 d=1 t=27386
bei bu 	背部	c=1 d=1 t=27949
bei dong 	被动	c=1 d=1 t=23815
bei er huan 	北二环	c=1 d=1 t=4988
bei fen 	备份	c=4 d=1.99506 t=36398
bei ge bao 	背个包	c=1 d=1 t=35842
bei hao le 	备好了	c=1 d=1 t=11908
bei hou 	背后	c=7 d=1.85001 t=40048
bei jiao da 	北交大	c=4 d=3.69393 t=13914
bei jie 	北街	c=1 d=1 t=25503
bei jing 	北京	c=44 d=3.74631 t=41908
bei jing 	背景	c=3 d=2.09638 t=10012
bei jing ren 	北京人	c=1 d=1 t=30721
bei jing shi 	北京市	c=3 d=1 t=41917
bei kan 	被砍	c=2 d=1.84366 t=27947
bei ke 	贝壳	c=5 d=1 t=38596
bei ye si 	被噎死	c=1 d=1 t=8326
bei ye si 	贝叶斯	c=1 d=1 t=8327
bei yong 	备用	c=1 d=1 t=23469
bei zhan 	备战	c=1 d=1 t=39113
bei zhu 	备注	c=4 d=1.04159 t=20462
ben 	本	c=7 d=1 t=38487
ben chi 	奔驰	c=2 d=1 t=4945
ben ci 	本次	c=1 d=1 t=16330
ben di 	本地	c=15 d=1.8559 t=41577
ben di ren 	本地人	c=2 d=1.1159 t=2160
ben di yong hu 	本地用户	c=1 d=1 t=19871
ben lai 	本来	c=6 d=1 t=34708
ben qian 	本钱	c=1 d=1 t=20081
ben shan 	本山	c=2 d=1.92774 t=13375
ben shen 	本身	c=11 d=1.86534 t=39782
ben tian 	本田	c=1 d=1 t=10011
ben tu 	本土	c=1 d=1 t=41387
ben yuan 	本院	c=3 d=2.60843 t=11703
ben zhi 	本职	c=1 d=1 t=14735
ben zhi 	本质	c=2 d=1 t=22385
ben zhou 	本周	c=3 d=1 t=18510
beng 	崩	c=1 d=1 t=3450
bi 	币	c=4 d=1 t=40219
bi 	比	c=25 d=2.05942 t=40669
bi 	笔	c=1 d=1 t=36345
bi 	逼	c=5 d=1 t=33282
bi an 	币安	c=1 d=1 t=38875
bi dui 	比对	c=1 d=1 t=546
bi gui yuan 	碧桂园	c=1 d=1 t=40992
bi hua 	比画	c=1 d=1 t=21506
bi ji 	笔记	c=4 d=3.899 t=6512
bi ji ben 	笔记本	c=8 d=1.7466 t=38801
bi ji ni 	比基尼	c=1 d=1 t=8448
bi jiao 	比较	c=18 d=1.08501 t=39692
bi jiao chang 	比较长	c=1 d=1 t=10084
bi jiao da 	比较大	c=2 d=1 t=26174
bi jiao duo 	比较多	c=1 d=1 t=13082
bi jiao hao 	比较好	c=1 d=1 t=6504
bi jiao luan 	比较乱	c=1 d=1 t=33441
bi kai 	避开	c=1 d=1 t=29907
bi mian 	避免	c=1 d=1 t=23700
bi quan 	币圈	c=2 d=1 t=19078
bi ran 	必然	c=2 d=1.00004 t=20677
bi ru 	比如	c=54 d=1.08896 t=40244
bi sai 	比赛	c=3 d=1 t=31193
bi shui 	避税	c=1 d=1 t=40954
bi ta 	比他	c=1 d=1 t=1190
bi te bi 	比特币	c=1 d=1 t=6519
bi wo 	比我	c=1 d=1 t=63
bi xu 	必须	c=15 d=1 t=41977
bi yao 	必要	c=1 d=1 t=36762
bi ye 	毕业	c=6 d=1 t=28134
bi yi zhi yan 	闭一只眼	c=1 d=1 t=10018
bi zhe ge 	比这个	c=1 d=1 t=24210
bi zi 	鼻子	c=2 d=1.96079 t=38738
bian 	变	c=4 d=1.9802 t=23784
bian 	边	c=1 d=1 t=10192
bian 	遍	c=2 d=1.94176 t=21064
bian cheng 	变成	c=2 d=1 t=4709
bian cheng 	编程	c=5 d=1 t=24581
bian cheng le 	变成了	c=0 d=0.1 t=4185
bian chu 	变出	c=2 d=1.9802 t=13027
bian dao 	变道	c=1 d=1 t=5015
bian geng 	变更	c=25 d=1.96086 t=39813
bian hao 	编号	c=13 d=5.65901 t=28838
bian hua 	变化	c=5 d=1 t=24539
bian le 	变了	c=3 d=1.72615 t=9475
bian li 	遍历	c=1 d=1 t=34668
bian liang 	变量	c=6 d=1 t=42097
bian ma 	编码	c=5 d=1.01377 t=33767
bian pai 	编排	c=1 d=1 t=31726
bian ping 	扁平	c=2 d=1.94176 t=20117
bian shang 	边上	c=2 d=1 t=23617
bian tan 	变谈	c=1 d=1 t=24420
bian xie 	编写	c=1 d=1 t=4717
bian yuan 	边缘	c=1 d=1 t=2067
biao 	表	c=26 d=1.10901 t=40497
biao da 	表达	c=1 d=1 t=27040
biao da chu 	表达出	c=1 d=1 t=1290
biao ge 	彪哥	c=1 d=1 t=13352
biao ge 	表格	c=10 d=1 t=35092
biao hua 	裱画	c=1 d=1 t=20563
biao li 	表里	c=1 d=1 t=41624
biao pei 	标配	c=2 d=1.00135 t=12700
biao qian 	标签	c=11 d=1 t=38328
biao shi 	标示	c=1 d=1 t=951
biao xian 	表现	c=3 d=1 t=27303
biao yu 	标语	c=1 d=1 t=30557
biao zhu 	标注	c=1 d=1 t=18964
biao zhun 	标准	c=8 d=3.7894 t=30970
bie 	别	c=21 d=1.00195 t=36122
bie 	憋	c=1 d=1 t=10571
bie de 	别的	c=3 d=1 t=24199
bie hui tou 	别回头	c=1 d=1 t=36826
bie kai 	别开	c=1 d=1 t=4825
bie na 	别拿	c=0 d=0.1 t=38642
bie na le 	别拿了	c=1 d=1 t=38643
bie ren 	别人	c=14 d=1 t=36525
bie zi 	别字	c=0 d=0.1 t=23730
bie zuo 	别做	c=1 d=1 t=32083
bing 	并	c=1 d=1 t=39295
bing 	病	c=1 d=1 t=33026
bing bu shi 	并不是	c=2 d=1 t=40310
bing du 	病毒	c=1 d=1 t=34957
bing du xing 	病毒性	c=2 d=1.98511 t=4852
bing jia 	病假	c=1 d=1 t=4786
bing li 	兵力	c=1 d=1 t=25082
bing li 	病历	c=1 d=1 t=38250
bing mei you 	并没有	c=1 d=1 t=25826
bing qie 	并且	c=11 d=1.00002 t=39151
bing xiang 	冰箱	c=1 d=1 t=30261
bing xiang li mian 	冰箱里面	c=1 d=1 t=25763
bo 	薄	c=2 d=1 t=21730
bo fang 	播放	c=2 d=1 t=31695
bo fang liang 	播放量	c=2 d=1.53794 t=2353
bo han shu 	波函数	c=1 d=1 t=40333
bo ke 	博客	c=2 d=1.956 t=21711
bo ke 	播客	c=1 d=1 t=35558
bo li 	玻璃	c=5 d=1.74453 t=41296
bo li shui 	玻璃水	c=1 d=1 t=725
bo wen 	博文	c=1 d=1 t=23184
bo zhu 	博主	c=1 d=1 t=10845
bo zi 	脖子	c=2 d=1 t=23073
bu 	不	c=95 d=1.58315 t=41447
bu 	补	c=6 d=1.00082 t=40897
bu 	部	c=1 d=1 t=1174
bu bao han 	不包含	c=1 d=1 t=4173
bu bao kuo 	不包括	c=1 d=1 t=25925
bu bi 	不必	c=1 d=1 t=1283
bu bian 	不变	c=2 d=1 t=12435
bu cha qian 	不差钱	c=1 d=1 t=23692
bu cheng gong 	不成功	c=1 d=1 t=40574
bu chong 	补充	c=1 d=1 t=17244
bu chu lai 	不出来	c=7 d=1 t=31906
bu cun 	不存	c=1 d=1 t=32470
bu cun zai 	不存在	c=1 d=1 t=35041
bu cuo 	不错	c=6 d=1 t=38704
bu da 	不大	c=4 d=1 t=29749
bu da 	不打	c=1 d=1 t=22798
bu dai 	不带	c=3 d=1 t=39442
bu dai 	布袋	c=3 d=1 t=39440
bu dai biao 	不代表	c=1 d=1 t=20534
bu dan wu 	不耽误	c=1 d=1 t=22783
bu dao 	不到	c=4 d=1 t=40000
bu dao le 	不到了	c=1 d=1 t=16269
bu dao tou 	不到头	c=1 d=1 t=27535
bu dong 	不懂	c=3 d=1.00024 t=32069
bu dong le 	不动了	c=1 d=1 t=30317
bu dui 	不对	c=8 d=1.00001 t=40443
bu duo 	不多	c=3 d=1.42105 t=41717
bu e 	不饿	c=0 d=0.1 t=25224
bu e neng 	不饿能	c=1 d=0.100034 t=27285
bu fa shao 	不发烧	c=1 d=1 t=34280
bu fen 	部分	c=8 d=1 t=34889
bu fu fei 	不付费	c=1 d=1 t=25380
bu fu he 	不符合	c=1 d=1 t=32029
bu gan 	不敢	c=2 d=1 t=26499
bu ge 	补个	c=1 d=1 t=11835
bu gei 	不给	c=2 d=1 t=41895
bu gou 	不够	c=6 d=1.98511 t=41523
bu gou kuan 	不够宽	c=1 d=1 t=41477
bu gui 	不贵	c=1 d=1 t=36200
bu guo 	不过	c=28 d=1.01758 t=41994
bu guo qu 	不过去	c=1 d=1 t=10619
bu hai 	不还	c=1 d=1 t=16948
bu hao 	不好	c=11 d=1 t=33588
bu hao chi 	不好吃	c=1 d=1 t=7045
bu hao de 	不好的	c=1 d=1 t=34518
bu hao kai 	不好开	c=1 d=1 t=7924
bu hao kan 	不好看	c=1 d=1 t=33579
bu hao nong 	不好弄	c=1 d=1 t=33558
bu hao shuo 	不好说	c=0 d=0.1 t=30427
bu hao yi si 	不好意思	c=1 d=1 t=37716
bu he 	不喝	c=1 d=1 t=41722
bu he jiu 	不喝酒	c=1 d=1 t=38777
bu hu 	不胡	c=1 d=1 t=15090
bu hua qian 	不花钱	c=2 d=1.9802 t=40641
bu hui 	不会	c=29 d=1.00309 t=41371
bu hui 	不回	c=3 d=1.01668 t=5086
bu huo 	不火	c=1 d=1 t=1956
bu huo 	捕获	c=1 d=1 t=25917
bu ji 	不记	c=1 d=1 t=27778
bu ji de 	不记得	c=2 d=1.29376 t=26863
bu jiao 	不叫	c=1 d=1 t=20240
bu jin lai 	不进来	c=1 d=1 t=27112
bu jin qu 	不进去	c=2 d=1 t=37814
bu jiu 	不久	c=2 d=1.98511 t=4434
bu jiu 	不就	c=3 d=1.81472 t=17057
bu jiu shi 	不就是	c=2 d=1.39259 t=21664
bu ka 	不卡	c=1 d=1 t=22292
bu kai wan xiao 	不开玩笑	c=1 d=1 t=27564
bu kan 	不看	c=6 d=1.00641 t=27665
bu kao pu 	不靠谱	c=1 d=1 t=10322
bu ke 	补课	c=1 d=1 t=3240
bu ke neng 	不可能	c=6 d=1.00428 t=32445
bu lai 	不来	c=2 d=1 t=22872
bu le yi 	不乐意	c=1 d=1 t=31141
bu li wo 	不理我	c=1 d=1 t=2963
bu liao 	不了	c=9 d=1 t=39590
bu liao le 	不聊了	c=1 d=1 t=18009
bu ling 	不灵	c=1 d=1 t=38472
bu lu 	补录	c=1 d=1 t=28236
bu mai 	不买	c=1 d=1 t=29849
bu mai fang 	不买房	c=1 d=1 t=14577
bu man 	不慢	c=1 d=1 t=19706
bu men 	部门	c=5 d=1.00074 t=32020
bu nan 	不难	c=1 d=1 t=31840
bu neng 	不能	c=39 d=1.59281 t=41203
bu neng yong 	不能用	c=2 d=1 t=25226
bu nong 	不弄	c=2 d=1 t=22717
bu pao 	补跑	c=1 d=1 t=12358
bu qu 	不去	c=5 d=1 t=41280
bu quan 	不全	c=1 d=1 t=35606
bu ran 	不然	c=20 d=1.93239 t=37054
bu ran ni 	不然你	c=1 d=1 t=29361
bu rang 	不让	c=3 d=1 t=25558
bu rang shuo 	不让说	c=1 d=1 t=2306
bu ren shi 	不认识	c=1 d=1 t=10581
bu rong yi 	不容易	c=2 d=1.00006 t=13631
bu ru 	不如	c=2 d=1 t=41159
bu shang 	不上	c=6 d=1.87515 t=35142
bu shang ban 	不上班	c=1 d=1 t=8161
bu shang wang 	不上网	c=2 d=1.99005 t=35482
bu shao 	不少	c=2 d=1.00914 t=3299
bu shao qian 	不少钱	c=2 d=1.00309 t=12606
bu shao ren 	不少人	c=1 d=1 t=1025
bu shi 	不是	c=93 d=1.07171 t=42027
bu shou 	不收	c=1 d=1 t=27683
bu shu 	部署	c=4 d=1 t=26017
bu shui 	不睡	c=1 d=1 t=17905
bu shuo 	不说	c=5 d=1 t=36267
bu suan 	不算	c=1 d=1 t=12966
bu tai 	不太	c=1 d=1 t=5681
bu tai an quan 	不太安全	c=1 d=1 t=32641
bu tai gou 	不太够	c=1 d=1 t=22086
bu tai he shi 	不太合适	c=1 d=1 t=26474
bu tai neng 	不太能	c=1 d=1 t=2865
bu tai xing 	不太行	c=2 d=1.03916 t=13089
bu tao hao 	不讨好	c=1 d=1 t=33779
bu tie 	补贴	c=13 d=1.40556 t=37586
bu tong 	不同	c=8 d=1 t=39911
bu tui 	不退	c=1 d=1.00008 t=35217
bu wan 	不玩	c=3 d=1 t=33909
bu wan le 	不玩了	c=1 d=1 t=33953
bu xi 	不洗	c=1 d=1 t=14831
bu xi ban 	补习班	c=1 d=1 t=3258
bu xia le 	不下了	c=1 d=1 t=19586
bu xian 	不限	c=1 d=1 t=11950
bu xian 	布线	c=1 d=1 t=18911
bu xian yu 	不限于	c=1 d=1 t=4727
bu xiang 	不像	c=1 d=1 t=20904
bu xiang 	不想	c=5 d=1 t=41194
bu xiao 	不小	c=1 d=1 t=32596
bu xin 	不信	c=2 d=1 t=21456
bu xing 	不行	c=30 d=1.0133 t=41615
bu xu yao 	不需要	c=1 d=1 t=8243
bu yao 	不要	c=13 d=1 t=34516
bu yao ming 	不要命	c=1 d=1 t=5045
bu yao you 	不要有	c=1 d=1 t=18827
bu ye 	不也	c=1 d=1.0001 t=30294
bu ye gei 	不也给	c=1 d=1 t=28920
bu yi chu 	不溢出	c=12 d=1.16804 t=37522
bu yi ding 	不一定	c=3 d=1 t=19016
bu yi yang 	不一样	c=3 d=1 t=35132
bu yi zhi 	不一致	c=2 d=1 t=19637
bu yong 	不用	c=43 d=1.35382 t=41682
bu yun xu 	不允许	c=1 d=1 t=25187
bu zai 	不再	c=1 d=1 t=19378
bu zhao ji 	不着急	c=2 d=1 t=16241
bu zheng que 	不正确	c=2 d=1 t=35099
bu zhi chi 	不支持	c=3 d=1 t=35778
bu zhi dao 	不知道	c=27 d=1.00463 t=40047
bu zhi qian 	不值钱	c=2 d=1 t=29556
bu zhun 	不准	c=2 d=1 t=16413
bu zou 	不走	c=1 d=1 t=29359
bu zu 	不足	c=1 d=1 t=14502
bu zuo 	不做	c=1 d=1 t=13061
bu zuo ban 	不坐班	c=1 d=1 t=14746
ca 	擦	c=4 d=1 t=27146
ca bian 	擦边	c=1 d=1 t=40367
cai 	才	c=10 d=1 t=40327
cai 	菜	c=1 d=1 t=38525
cai bao 	财报	c=1 d=1 t=25366
cai dan 	彩蛋	c=1 d=1 t=3770
cai dan 	菜单	c=4 d=1 t=33280
cai dao le 	猜到了	c=1 d=1 t=26646
cai fang 	采访	c=2 d=1.86071 t=41056
cai gou 	采购	c=5 d=1.96561 t=26260
cai hong qiao 	彩虹桥	c=1 d=1 t=3069
cai lan zi 	菜篮子	c=1 d=1 t=11836
cai neng 	才能	c=7 d=1.00032 t=34737
cai niao 	菜鸟	c=1 d=1 t=26153
cai piao 	彩票	c=1 d=1 t=13304
cai pu 	菜谱	c=0 d=0.1 t=37720
cai pu wu 	菜谱屋	c=1 d=1 t=37721
cai shi 	才是	c=3 d=1 t=24033
cai shi chang 	菜市场	c=1 d=1 t=11664
cai wu 	财务	c=2 d=1 t=37487
cai xing 	才行	c=1 d=1 t=34707
cai you 	才有	c=3 d=1 t=35024
cai yuan 	裁员	c=3 d=1.28224 t=27488
can 	餐	c=1 d=1 t=14253
can guan 	参观	c=2 d=1.93239 t=3691
can ji ren 	残疾人	c=1 d=1 t=1994
can jia 	参加	c=5 d=1.96561 t=41041
can le 	惨了	c=2 d=1 t=16590
can shu 	参数	c=14 d=3.78581 t=40097
can shu bian cheng le 	参数变成了	c=1 d=1 t=4186
can ting 	餐厅	c=9 d=1 t=40674
can yu 	参与	c=5 d=1.99005 t=11688
can zhuo 	餐桌	c=6 d=3.32488 t=14005
cang 	仓	c=1 d=1 t=32731
cao 	操	c=0 d=0.1 t=34410
cao 	草	c=5 d=1.00011 t=40807
cao dan 	操蛋	c=1 d=1 t=29964
cao ni ma 	操你妈	c=0 d=0.1 t=10496
cao xin 	操心	c=1 d=1 t=1785
cao zuo 	操作	c=23 d=1 t=39459
ce 	测	c=9 d=1 t=33200
ce ce 	测测	c=1 d=1 t=29115
ce le 	测了	c=1 d=1 t=13548
ce lv 	测虑	c=2 d=1 t=40236
ce lve 	策略	c=4 d=2.70655 t=40287
ce mian 	侧面	c=1 d=1 t=12076
ce shi 	测试	c=17 d=1 t=40146
ce shi ji 	测试机	c=1 d=1 t=12967
ce shi wang 	测试网	c=1 d=1 t=6968
ce suo 	厕所	c=2 d=1 t=27893
ceng 	蹭	c=3 d=1.00411 t=37871
ceng ceng 	蹭蹭	c=1 d=1 t=11334
ceng le 	蹭了	c=2 d=1.86502 t=2308
cha 	差	c=4 d=1.42105 t=37507
cha 	插	c=9 d=1.73713 t=41188
cha 	查	c=44 d=1.22232 t=40883
cha bie 	差别	c=1 d=1 t=21079
cha bo 	插播	c=2 d=1.70822 t=32643
cha bu chu lai 	查不出来	c=2 d=1 t=37012
cha bu duo 	差不多	c=21 d=1 t=38414
cha cha 	查查	c=3 d=1.00004 t=40620
cha cheng 	茶城	c=1 d=1 t=1506
cha chu lai 	查出来	c=1 d=1 t=37501
cha dao 	查到	c=2 d=1.93707 t=13872
cha de 	查的	c=1 d=1 t=5452
cha dian 	差点	c=2 d=0.1 t=41495
cha dian 	插电	c=1 d=1 t=36821
cha dian shui zhao le 	差点睡着了	c=1 d=1 t=41496
cha jian 	插件	c=35 d=1.84789 t=39361
cha jian le 	插件了	c=1 d=1 t=25278
cha ju 	差距	c=2 d=1 t=33891
cha kan 	查看	c=26 d=1.00355 t=39947
cha le 	差了	c=4 d=1.00001 t=40448
cha le 	查了	c=2 d=1 t=38077
cha lou 	茶楼	c=1 d=1 t=3217
cha man 	插满	c=1 d=1 t=22670
cha ru 	插入	c=2 d=1.99005 t=39867
cha shang 	插上	c=4 d=1.08015 t=22506
cha shou 	查收	c=3 d=1 t=39834
cha wan le 	查完了	c=1 d=1 t=37335
cha xia qu 	查下去	c=1 d=1 t=1065
cha xian ban 	插线板	c=1 d=1 t=36828
cha xun 	查询	c=21 d=1.50886 t=38052
cha xun chu 	查询出	c=1 d=1 t=2172
cha yi 	差异	c=1 d=1 t=39916
cha yi xia 	查一下	c=2 d=1.16365 t=5870
cha yuan le 	差远了	c=1 d=1 t=66
cha zhao 	查找	c=1 d=1 t=19619
cha zhe 	插着	c=2 d=1 t=36450
cha zuo 	插座	c=1 d=1 t=31793
chai 	拆	c=4 d=1.00048 t=38001
chai de 	拆的	c=1 d=1 t=14015
chai hu 	柴胡	c=1 d=1 t=4839
chai kai 	拆开	c=1 d=1 t=32966
chai le 	拆了	c=7 d=1 t=41404
chan dao 	禅道	c=2 d=1 t=38502
chan pin 	产品	c=10 d=2.63071 t=33612
chan sheng 	产生	c=2 d=1.9802 t=18642
chang 	唱	c=1 d=1 t=15059
chang 	长	c=1 d=1 t=21794
chang bao 	长包	c=1 d=1 t=27821
chang cheng 	长城	c=1 d=1 t=10593
chang de 	唱的	c=1 d=1 t=14900
chang fan diao 	唱反调	c=1 d=1 t=14827
chang gui 	常规	c=1 d=1 t=41583
chang jia 	厂家	c=1 d=1 t=13299
chang jing 	场景	c=3 d=1.03159 t=10063
chang pian da lun 	长篇大论	c=1 d=1 t=25494
chang ping 	昌平	c=1 d=1 t=1407
chang shi 	尝试	c=3 d=1 t=18616
chang shi jian 	长时间	c=1 d=1 t=39774
chang shi pin 	长视频	c=2 d=1.34819 t=2225
chang wang 	畅网	c=1 d=1 t=38359
chang wei 	肠胃	c=1 d=1 t=32504
chang wen 	常温	c=1 d=1 t=41729
chang yong 	常用	c=4 d=1 t=26867
chang zu 	长租	c=1 d=1 t=10428
chao 	抄	c=1 d=1 t=20998
chao 	朝	c=1 d=1 t=29087
